topic,term,type
Workers’ Rights,401k,anchor term
Workers’ Rights,401k,pattern
Reproductive Rights,abortion access,anchor term
Reproductive Rights,abortion access,pattern
Disability Rights,accessibility,anchor term
Disability Rights,accessibility,pattern
Disability Rights,accessible,anchor term
Disability Rights,accessible,pattern
Disability Rights,ADA,anchor term
Disability Rights,ada,pattern
Economic Empowerment,affordable housing,anchor term
Economic Empowerment,affordable housing,pattern
AI & Technology,AI ,anchor term
AI & Technology,ai ,pattern
Climate Change & Sustainability,American Red Cross,anchor term
Climate Change & Sustainability,american red cross,pattern
Disability Rights,Americans with Disabilities Act,anchor term
Disability Rights,americans with disabilities act,pattern
Animal Welfare,Animal Equality,anchor term
Animal Welfare,animal equality,pattern
Animal Welfare,Animal testing,anchor term
Animal Welfare,animal testing,pattern
Animal Welfare,animal vaccines,anchor term
Animal Welfare,animal vaccines,pattern
Racial Equity,anti-racism,anchor term
Racial Equity,anti-racism,pattern
Veterans' Rights,armed services,anchor term
Veterans' Rights,armed services,pattern
AI & Technology,artificial intelligence,anchor term
AI & Technology,artificial intelligence,pattern
Immigration,asylum,anchor term
Immigration,asylum,pattern
Elections & Administration,ballot access,anchor term
Elections & Administration,ballot access,pattern
Animal Welfare,Better Chicken Commitment,anchor term
Animal Welfare,better chicken commitment,pattern
Climate Change & Sustainability,biodegradable plastics,anchor term
Climate Change & Sustainability,biodegradable plastics,pattern
Climate Change & Sustainability,biodiversity,anchor term
Climate Change & Sustainability,biodiversity,pattern
Religious & Political Diversity,bipartisanship,anchor term
Religious & Political Diversity,bipartisanship,pattern
Immigration,border security,anchor term
Immigration,border security,pattern
Economic Empowerment,broadband access,anchor term
Economic Empowerment,broadband access,pattern
Animal Welfare,Cage-free hens,anchor term
Animal Welfare,cage-free hens,pattern
Elections & Administration,campaign finance,anchor term
Elections & Administration,campaign finance,pattern
Climate Change & Sustainability,carbon footprint,anchor term
Climate Change & Sustainability,carbon footprint,pattern
Climate Change & Sustainability,carbon reduction,anchor term
Climate Change & Sustainability,carbon reduction,pattern
Climate Change & Sustainability,carbon sequestration,anchor term
Climate Change & Sustainability,carbon sequestration,pattern
Economic Empowerment,child tax credit,anchor term
Economic Empowerment,child tax credit,pattern
Economic Empowerment,childcare access,anchor term
Economic Empowerment,childcare access,pattern
Climate Change & Sustainability,circular economy,anchor term
Climate Change & Sustainability,circular economy,pattern
Racial Equity,civil rights,anchor term
Racial Equity,civil rights,pattern
Climate Change & Sustainability,clean energy,anchor term
Climate Change & Sustainability,clean energy,pattern
Climate Change & Sustainability,climate,anchor term
Climate Change & Sustainability,climate,pattern
Climate Change & Sustainability,climate resiliance,anchor term
Climate Change & Sustainability,climate resiliance,pattern
Workers’ Rights,Collective Bargaining,anchor term
Workers’ Rights,collective bargaining,pattern
Climate Change & Sustainability,Community Resilience,anchor term
Climate Change & Sustainability,community resilience,pattern
Climate Change & Sustainability,conservation,anchor term
Climate Change & Sustainability,conservation,pattern
Reproductive Rights,contraception,anchor term
Reproductive Rights,contraception,pattern
Economic Empowerment,cost of living,anchor term
Economic Empowerment,cost of living,pattern
Animal Welfare,Crate-free pork,anchor term
Animal Welfare,crate-free pork,pattern
Immigration,DACA,anchor term
Immigration,daca,pattern
Climate Change & Sustainability,deforestation prevention,anchor term
Climate Change & Sustainability,deforestation prevention,pattern
Racial Equity,DEI,anchor term
Racial Equity,dei,pattern
Disability Rights,disability,anchor term
Disability Rights,disability,pattern
Climate Change & Sustainability,disaster donations,anchor term
Climate Change & Sustainability,disaster donations,pattern
Climate Change & Sustainability,Disaster Preparedness,anchor term
Climate Change & Sustainability,disaster preparedness,pattern
Climate Change & Sustainability,disaster recover,anchor term
Climate Change & Sustainability,disaster recover,pattern
Climate Change & Sustainability,Disaster relief,anchor term
Climate Change & Sustainability,disaster relief,pattern
Racial Equity,diversity,anchor term
Racial Equity,diversity,pattern
Climate Change & Sustainability,divestment,anchor term
Climate Change & Sustainability,divestment,pattern
Immigration,dreamers,anchor term
Immigration,dreamers,pattern
Drug Pricing,drug affordability,anchor term
Drug Pricing,drug affordability,pattern
Drug Pricing,drug costs,anchor term
Drug Pricing,drug costs,pattern
Drug Pricing,drug pricing,anchor term
Drug Pricing,drug pricing,pattern
Climate Change & Sustainability,earthquake,anchor term
Climate Change & Sustainability,earthquake,pattern
Climate Change & Sustainability,eco-friendly plastics,anchor term
Climate Change & Sustainability,eco-friendly plastics,pattern
Economic Empowerment,economic opportunity,anchor term
Economic Empowerment,economic opportunity,pattern
Economic Empowerment,education access,anchor term
Economic Empowerment,education access,pattern
Elections & Administration,election integrity,anchor term
Elections & Administration,election integrity,pattern
Elections & Administration,election security,anchor term
Elections & Administration,election security,pattern
Climate Change & Sustainability,emergency,anchor term
Climate Change & Sustainability,emergency,pattern
Climate Change & Sustainability,Emergency Assistance,anchor term
Climate Change & Sustainability,emergency assistance,pattern
Climate Change & Sustainability,Emergency Relief,anchor term
Climate Change & Sustainability,emergency relief,pattern
Climate Change & Sustainability,emissions,anchor term
Climate Change & Sustainability,emissions,pattern
Workers’ Rights,Employee Representation,anchor term
Workers’ Rights,employee representation,pattern
Workers’ Rights,employee rights,anchor term
Workers’ Rights,employee rights,pattern
Workers’ Rights,employee wellfare,anchor term
Workers’ Rights,employee wellfare,pattern
Gender Equity,equal pay,anchor term
Gender Equity,equal pay,pattern
LGBTQ+ Equality,Equality Act,anchor term
LGBTQ+ Equality,equality act,pattern
Workers’ Rights,executive compensation,anchor term
Workers’ Rights,executive compensation,pattern
Workers’ Rights,executive pay,anchor term
Workers’ Rights,executive pay,pattern
Workers’ Rights,fair wage,anchor term
Workers’ Rights,fair wage,pattern
Reproductive Rights,family planning,anchor term
Reproductive Rights,family planning,pattern
Climate Change & Sustainability,FEMA,anchor term
Climate Change & Sustainability,fema,pattern
Economic Empowerment,financial literacy,anchor term
Economic Empowerment,financial literacy,pattern
Veterans' Rights,first responders,anchor term
Veterans' Rights,first responders,pattern
Nutrition & Food access,food deserts,anchor term
Nutrition & Food access,food deserts,pattern
Nutrition & Food access,food insecurity,anchor term
Nutrition & Food access,food insecurity,pattern
Climate Change & Sustainability,forest,anchor term
Climate Change & Sustainability,forest,pattern
Climate Change & Sustainability,fossil fuel,anchor term
Climate Change & Sustainability,fossil fuel,pattern
Animal Welfare,Frankenchicken,anchor term
Animal Welfare,frankenchicken,pattern
Religious & Political Diversity,freedom of religion,anchor term
Religious & Political Diversity,freedom of religion,pattern
LGBTQ+ Equality,gender affirming care,anchor term
LGBTQ+ Equality,gender affirming care,pattern
Gender Equity,gender equality,anchor term
Gender Equity,gender equality,pattern
Gender Equity,gender equity,anchor term
Gender Equity,gender equity,pattern
Gender Equity,gender gap,anchor term
Gender Equity,gender gap,pattern
Gender Equity,gender pay gap,anchor term
Gender Equity,gender pay gap,pattern
AI & Technology,Generative AI,anchor term
AI & Technology,generative ai,pattern
Elections & Administration,gerrymandering,anchor term
Elections & Administration,gerrymandering,pattern
Animal Welfare,Gestation crates,anchor term
Animal Welfare,gestation crates,pattern
International Reputational Risks,global human rights,anchor term
International Reputational Risks,global human rights,pattern
Health Access,health equity,anchor term
Health Access,health equity,pattern
Health Access,healthcare access,anchor term
Health Access,healthcare access,pattern
Health Access,healthcare affordability,anchor term
Health Access,healthcare affordability,pattern
Nutrition & Food access,hunger relief,anchor term
Nutrition & Food access,hunger relief,pattern
Climate Change & Sustainability,hurricane,anchor term
Climate Change & Sustainability,hurricane,pattern
Immigration,immigration reform,anchor term
Immigration,immigration reform,pattern
Racial Equity,inclusion,anchor term
Racial Equity,inclusion,pattern
Economic Empowerment,inflation,anchor term
Economic Empowerment,inflation,pattern
Drug Pricing,insulin costs,anchor term
Drug Pricing,insulin costs,pattern
Health Access,insurance coverage,anchor term
Health Access,insurance coverage,pattern
Religious & Political Diversity,interfaith dialogue,anchor term
Religious & Political Diversity,interfaith dialogue,pattern
International Reputational Risks,international labor standards,anchor term
International Reputational Risks,international labor standards,pattern
Economic Empowerment,internet access,anchor term
Economic Empowerment,internet access,pattern
Workers’ Rights,labor compliance,anchor term
Workers’ Rights,labor compliance,pattern
Workers’ Rights,labor day,anchor term
Workers’ Rights,labor day,pattern
Workers’ Rights,labor standards,anchor term
Workers’ Rights,labor standards,pattern
Workers’ Rights,Labor Union Partnerships,anchor term
Workers’ Rights,labor union partnerships,pattern
Crime & Safety,law enforcement,anchor term
Crime & Safety,law enforcement,pattern
LGBTQ+ Equality,LGBTQ+ rights,anchor term
LGBTQ+ Equality,lgbtq+ rights,pattern
Gender Equity,maternal health,anchor term
Gender Equity,maternal health,pattern
Gender Equity,maternity leave,anchor term
Gender Equity,maternity leave,pattern
Health Access,medicaid,anchor term
Health Access,medicaid,pattern
Health Access,medicare,anchor term
Health Access,medicare,pattern
Drug Pricing,medication costs,anchor term
Drug Pricing,medication costs,pattern
Drug Pricing,medication pricing,anchor term
Drug Pricing,medication pricing,pattern
Health Access,mental health access,anchor term
Health Access,mental health access,pattern
Immigration,migrant rights,anchor term
Immigration,migrant rights,pattern
